"";"Harry Potter i Czara Ognia";"Harry Potter i Insygnia Smierci";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Komnata Tajemnic";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Przeklete Dziecko";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Zakon Feniksa";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Srebrne krzeslo";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Przed Switem";"Zmierzch.Zacmienie";"Zmierzch.Zmierzch"
"komus";0,0011400236972424;0;0,00325117869213572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"kon";0;0;0;0;0;0;0;0;0,0739712503534008;0,00283898188989598;0;0;0;0,0397457464585437;0;0;0;0;0
"konczyc";0,00202807941581912;0;0;0;0;0,00427683068517296;0;0;0;0,00205330428417508;0;0;0;0;0;0,00445833198739866;0,0046975595574542;0;0
"konfiskowac";0;0;0;0;0;0;0,00322215031095594;0,00366997459146168;0;0;0;0;0;0;0;0;0;0;0
"koniec";0,0034590313497525;0,00239600785690369;0,000548035831133627;0,00240477801743408;0,00362975333902205;0;0;0,000618630277177959;0;0;0,00104085132186786;0,00829526962579535;0,00645622400120865;0,0081714596313805;0,00869028246511894;0,00126733285949651;0,00133533608610364;0;0
"konkretny";0;0;0;0;0;0,00240409142371842;0;0;0;0;0;0;0,0076602063996311;0;0;0;0;0;0
"kontakt";0,0011400236972424;0;0;0;0;0,00240409142371842;0;0;0;0;0;0;0;0;0;0;0;0;0
"kontynuowac";0;0;0;0;0,00294250277648887;0;0,00264183036976431;0,00300900001437563;0;0;0;0;0;0;0;0;0;0;0
"korneliusz";0,000789023346242045;0;0;0;0,00248389780491004;0;0,00223008681889245;0,00254003108863682;0;0;0;0;0;0;0;0;0;0;0
"korytarz";0;0,00140481358027442;0,00192792734590213;0,00281991130096079;0;0;0,00191071370888514;0,00217627052944206;0;0;0;0;0;0;0;0;0;0;0
"korzystac";0;0,00236902079755185;0;0;0;0,00240409142371842;0;0;0;0;0;0;0;0;0;0;0;0;0
"kotla";0,00342007109172719;0;0;0;0;0;0,00322215031095594;0;0;0;0;0;0;0;0;0;0;0;0
"kraina";0;0;0;0;0;0;0;0;0;0;0,00641043967712049;0,0340595077794483;0,00530171583359336;0;0,0178406945511396;0;0;0;0
"kraj";0,000583701303166876;0;0;0;0,00183753040079826;0;0;0;0;0,00531865142661758;0;0;0,00392208729415667;0,0248203733242154;0,0131981350216066;0;0;0;0
"krasc";0;0;0;0,00475538435350452;0;0;0;0,00366997459146168;0;0;0;0;0;0;0;0;0;0;0
"krew";0,000505641485217965;0;0,00144201460599197;0;0;0;0,00142913947558133;0;0;0;0,00136936558116538;0;0;0;0;0,00333465877635644;0,0105407750589218;0;0,022334458781178
"kroki";0,00228004739448479;0,00236902079755185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"król";0;0;0;0;0;0,00123091414709284;0;0;0;0,0070915352354901;0,0079038261060952;0,0251964395867035;0,01176626188247;0;0,0263962700432132;0;0;0;0
"królewski";0;0;0;0;0;0;0;0;0,0451101043533831;0;0;0;0;0;0;0,00751835072556386;0;0;0
"królowa";0;0;0;0;0;0;0;0;0;0,00567796377979196;0,0126566778171218;0;0;0,0397457464585437;0;0;0;0;0
"krótki";0;0;0;0;0;0,00197110659712985;0;0;0;0;0,00253133556342436;0;0;0,0397457464585437;0;0;0;0;0
"krukonów";0,0011400236972424;0;0;0;0,00358887018060065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"krum";0,00912018957793917;0,00236902079755185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"kryjówka";0;0,00236902079755185;0;0;0;0,00721227427115526;0;0;0;0;0;0;0;0;0;0;0;0;0
"krytykowac";0;0;0;0;0,00358887018060065;0,00240409142371842;0;0;0;0;0;0;0;0;0;0;0;0;0
"krzak";0,00228004739448479;0;0;0;0;0;0,00322215031095594;0;0;0;0;0;0;0;0;0;0;0;0
"krzeslo";0,0011400236972424;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0773316074629425;0;0;0;0
"krzyk";0,00186940330833445;0;0;0;0;0,00197110659712985;0,00264183036976431;0;0;0;0;0;0;0;0;0;0;0;0
"krzywdzic";0;0;0;0,00475538435350452;0;0;0;0,00366997459146168;0;0;0;0;0;0;0;0;0;0;0
"ksiaze";0;0;0;0;0;0;0;0;0,0451101043533831;0,00346260928938549;0;0;0;0;0;0;0;0;0
"ksiazka";0,00131406898572508;0,0027306947777759;0,00124917669013372;0,00182712666682809;0;0;0;0;0,0173323265756054;0;0;0;0;0,0186257837827401;0;0,00288872109593423;0;0;0,00483692834668056
"ksiecia";0;0;0;0;0,00588500555297774;0;0;0;0;0,00567796377979196;0;0;0;0;0,0211346429581145;0;0;0;0
"ksieciem";0;0;0;0;0;0;0;0;0;0,00283898188989598;0,00253133556342436;0;0,00628057786019441;0;0;0;0;0;0
"ksiega";0,000789023346242045;0;0,00450035538226944;0;0;0;0,00223008681889245;0;0;0;0;0;0,00530171583359336;0;0;0;0;0;0
"ksztalt";0;0,00194235230687267;0,0026656306433658;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00649503661639617;0;0
"któregos";0,0011400236972424;0;0;0;0;0;0;0;0;0;0,00308738356791215;0;0;0;0;0;0;0;0
"który";0,000478816311456745;0,000746251461345879;0,000341378296131198;0,000499321988045486;0,000753672746596833;0,00126216475882704;0,000338330275630027;0,000385352449531149;0;0,00109073641098635;0,000324179579691128;0;0,000804332353384592;0;0,00270664220504021;0,000789437309803396;0,00166359472114667;0,00146367775894878;0
"ktos";0,00101128297043593;0;0,00144201460599197;0,00210918388197069;0,00318358583731709;0,00106630095587415;0,00285827895116266;0;0;0,00153579167525158;0;0;0;0;0;0;0;0;0
"kuchnia";0,00228004739448479;0;0;0;0;0;0,00322215031095594;0;0;0;0;0;0;0;0;0;0;0;0
"kufer";0,00342007109172719;0;0;0;0,00358887018060065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"kupic";0;0;0,0026656306433658;0;0,00294250277648887;0;0;0;0,0369856251767004;0;0;0;0;0;0;0;0;0;0
"kurs";0;0;0;0,00475538435350452;0,00358887018060065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"kwatera";0;0;0;0;0,00358887018060065;0;0;0;0,0451101043533831;0;0;0;0;0;0;0;0;0;0
"kwestia";0;0;0;0;0;0,00240409142371842;0;0;0;0;0;0;0;0;0;0,00751835072556386;0;0;0
"laczyc";0,000934701654167227;0,00194235230687267;0;0;0;0,00197110659712985;0;0;0;0;0;0;0;0;0;0;0;0;0
"lad";0;0;0;0;0;0;0;0;0;0,00346260928938549;0;0;0,0229806191988933;0;0;0;0;0;0
"ladowac";0,00175110390950063;0;0;0,00243479504058921;0,00183753040079826;0;0;0,00187905651155077;0,0230967362878115;0,00177288380887253;0;0;0;0;0;0;0;0;0
"lagodny";0;0;0,00325117869213572;0;0;0;0;0;0;0;0,00308738356791215;0;0;0;0;0;0;0;0
"lam";0;0;0;0;0,00248389780491004;0,00166389897368141;0;0;0;0;0;0;0;0;0;0;0,0109655000655785;0;0,00871289733892863
"lancuch";0,0011400236972424;0;0;0;0;0;0,00322215031095594;0;0;0;0;0;0;0;0;0;0;0;0
"lapa";0,00135205294387941;0;0;0,00563982260192159;0;0;0,00382142741777028;0,00217627052944206;0;0,00205330428417508;0;0;0;0;0;0;0;0;0
"lapac";0,000934701654167227;0;0;0;0;0;0;0;0;0,00283898188989598;0,00253133556342436;0;0;0;0;0;0;0;0
"las";0,000934701654167227;0;0;0;0;0;0;0;0;0,00283898188989598;0,00253133556342436;0;0;0;0;0;0;0;0
"lasu";0,00130010448375742;0,000675418977794473;0,00185385268980225;0,00135578245762258;0;0,000685417778353977;0,00091865021682165;0,0010463270266172;0;0;0,00176045516835784;0;0;0,0138208868441227;0;0,00214351717258385;0;0;0
"lata";0;0,00194235230687267;0;0,00389892388392742;0;0;0;0;0;0;0,00253133556342436;0;0;0;0;0;0;0;0
"latac";0;0,00236902079755185;0,00325117869213572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"latania";0,0011400236972424;0;0,00325117869213572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"lato";0;0;0,00325117869213572;0;0;0;0,00322215031095594;0;0;0;0;0;0;0;0;0;0;0;0
"lavender";0;0,00236902079755185;0;0;0,0107666105418019;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"lawka";0,00342007109172719;0;0;0;0;0;0;0;0;0,00346260928938549;0;0;0;0;0;0;0;0;0
"lazienka";0,00135205294387941;0;0,00192792734590213;0,00845973390288239;0,0021281761531008;0,00285122045678197;0;0;0;0;0;0;0;0;0;0;0;0;0
"leciec";0;0,00163962619507191;0;0;0,00248389780491004;0,00166389897368141;0,00223008681889245;0;0;0;0;0;0;0;0;0;0;0;0
"leczyc";0;0;0;0;0;0;0;0;0;0,00346260928938549;0,00617476713582431;0;0;0;0;0;0;0;0
"legenda";0;0;0;0,00951076870700904;0;0;0;0;0;0;0,00308738356791215;0;0;0;0;0;0;0;0
"lekcja";0,00454055112110048;0;0,00215816318718974;0,00473500371303634;0,00714697798011894;0,00159585864100855;0,005347234682546;0,0121808193446472;0;0,00229851281876604;0;0;0;0;0;0;0;0;0,00417830431008245
"lekki";0,0011400236972424;0;0;0;0;0;0;0;0;0,00346260928938549;0;0;0;0;0;0;0;0;0
"lektura";0,0011400236972424;0;0;0;0;0;0;0;0;0;0;0;0,0076602063996311;0;0;0;0;0;0
"lepszy";0;0;0;0;0;0,00240409142371842;0;0;0;0;0,00308738356791215;0;0;0;0;0;0;0;0
"lesie";0,00101128297043593;0,00210149174527495;0;0;0;0,00106630095587415;0;0,00162776563998416;0;0;0,00273873116233076;0;0;0;0;0,00666931755271288;0,00351359168630727;0;0
"lestrange";0;0,0047380415951037;0;0;0;0;0;0,00366997459146168;0;0;0;0;0;0;0;0;0;0;0
"letni";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0061642708627834;0,00649503661639617;0;0,0103215698167536
"lew";0;0;0;0;0;0;0;0,00254003108863682;0;0,0119825560418102;0,012820879354241;0;0,0106034316671867;0;0;0;0;0;0
"leza";0,0011400236972424;0;0;0;0;0;0,00322215031095594;0;0;0;0;0;0;0;0;0;0;0;0
"lily";0;0,00388470461374534;0,0026656306433658;0;0;0;0;0,00300900001437563;0;0;0;0;0;0;0;0;0;0;0
"list";0,00466961042533501;0;0,0149816667812831;0;0,00367506080159653;0;0,00494930063310247;0,00375811302310153;0;0;0;0;0;0;0;0;0,00405601222615227;0;0
"lista";0;0;0,0026656306433658;0,00779784776785484;0;0;0,00528366073952863;0;0;0;0;0;0;0;0;0;0;0;0
"little";0,0011400236972424;0;0,00325117869213572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"loch";0,00228004739448479;0;0,00325117869213572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"logiczny";0;0;0,00325117869213572;0;0;0;0;0;0;0;0,00308738356791215;0;0;0;0;0;0;0;0
"londynie";0;0;0;0;0,00358887018060065;0;0;0;0;0,00346260928938549;0;0;0;0;0;0;0;0;0
"londynu";0,0011400236972424;0;0;0;0;0;0;0;0;0;0,00308738356791215;0;0;0;0;0;0;0;0
"lord";0,00252820742608982;0,00105074587263748;0,00432604381797592;0,00210918388197069;0,00159179291865854;0,00319890286762246;0,00142913947558133;0;0;0;0;0;0;0;0;0;0;0;0
"los";0,00280410496250168;0;0;0;0;0;0;0;0;0;0,00253133556342436;0;0;0;0;0,0061642708627834;0;0;0
"lovegood";0;0,00776940922749068;0;0;0,00294250277648887;0;0;0,00601800002875125;0;0;0;0;0;0;0;0;0;0;0
"lózko";0,000934701654167227;0;0;0;0;0,00197110659712985;0,00264183036976431;0;0;0;0;0;0;0;0;0;0;0;0
"lubic";0;0;0,00325117869213572;0;0;0,00240409142371842;0;0;0;0;0;0;0;0;0;0;0;0;0
"lucja";0;0;0;0;0;0;0;0;0;0,0287581345003444;0,0470098909655503;0,0340595077794483;0,0371120108351535;0;0;0;0;0;0
"lucje";0;0;0;0;0;0;0;0;0;0,0103878278681565;0,0185243014074729;0;0;0;0;0;0;0;0
"lucji";0;0;0;0;0;0;0;0;0,0369856251767004;0,00567796377979196;0,0101253422536974;0;0;0;0;0;0;0;0
"ludzi";0;0;0,00144201460599197;0;0;0,00106630095587415;0;0,00162776563998416;0;0,00153579167525158;0;0;0,00339757686647637;0;0;0,00333465877635644;0;0;0,0055836146952945
"ludzki";0;0;0;0;0;0;0;0;0;0,00283898188989598;0,00506267112684872;0;0;0;0;0;0;0;0,0103215698167536
"ludzmi";0;0;0;0;0;0;0;0;0;0;0,00308738356791215;0;0;0;0;0;0;0;0,0125888663311767
"luk";0;0;0;0;0;0;0;0;0;0,00692521857877097;0,00308738356791215;0;0;0;0;0;0;0;0
"luna";0;0,0155388184549814;0;0;0,00588500555297774;0;0;0,0150450000718781;0;0;0;0;0;0;0;0;0;0;0
"lunac";0;0,00236902079755185;0;0;0;0;0;0,00366997459146168;0;0;0;0;0;0;0;0;0;0;0
"lupin";0;0,00491887858521572;0;0;0,00248389780491004;0;0,0312212154644942;0,00508006217727364;0;0;0;0;0;0;0;0;0;0;0
"lupina";0;0,00582705692061801;0;0;0;0;0,00792549110929294;0,00300900001437563;0;0;0;0;0;0;0;0;0;0;0
"madame";0,00280410496250168;0;0;0;0,00294250277648887;0;0;0,00300900001437563;0;0;0;0;0;0;0;0;0;0;0
"magia";0,00306616096669186;0,00182046318518393;0,0062458834506686;0,00548138000048427;0,00689462714609716;0,0055422391418664;0,00247604665365791;0,0141008758581196;0;0;0;0;0;0;0;0;0;0;0
"magiczny";0,00249086102255409;0;0,000789285179986275;0,00115445958243966;0;0,000583638708220791;0,000782237990879254;0,000890955813340439;0;0,000840613960347855;0,000749520812553506;0;0,00371932025852023;0,01176859544487;0,00625790392703403;0;0;0;0
"majac";0,0011400236972424;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00792177442303314;0;0
"mala";0,000789023346242045;0;0,00225017769113472;0;0;0;0;0,00254003108863682;0;0;0;0;0;0;0;0;0,00548275003278923;0;0
"male";0;0;0;0;0;0;0;0;0;0;0,00308738356791215;0;0;0;0;0;0,00792177442303314;0;0
"malego";0,000676026471939706;0,00140481358027442;0;0;0;0,00142561022839099;0;0;0;0,00205330428417508;0;0;0;0;0;0;0;0;0,00746511402541172
"malfoy";0,00151692445565389;0;0,00144201460599197;0,0147642871737948;0,00955075751195126;0,00533150477937077;0,00428741842674399;0,00162776563998416;0;0;0;0;0;0;0;0;0;0;0
"malfoya";0,00116740260633375;0,00363887311317818;0;0,00486959008117842;0,0147002432063861;0,00123091414709284;0,00164976687770082;0;0;0;0;0;0;0;0;0;0;0;0
"malfoyem";0;0;0;0;0,00294250277648887;0,00197110659712985;0,00264183036976431;0;0;0;0;0;0;0;0;0;0;0;0
"malfoyów";0,0011400236972424;0,0047380415951037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"malfoyowi";0;0;0;0,00475538435350452;0,00358887018060065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"malo";0;0,00236902079755185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00792177442303314;0;0
"maly";0;0;0;0;0;0,0039422131942597;0;0;0;0,00283898188989598;0;0;0,00628057786019441;0;0;0;0;0;0
"mama";0;0;0;0;0,00717774036120129;0;0;0;0;0,00346260928938549;0;0;0;0;0;0;0;0;0
"mapa";0,00473218530357794;0;0;0;0,0021281761531008;0,00142561022839099;0,00955356854442571;0;0;0;0;0;0,00454245145885902;0;0;0;0;0;0
"marta";0,000934701654167227;0;0;0;0,00294250277648887;0,00197110659712985;0;0;0;0;0;0;0;0;0;0;0;0;0
"martwic";0,000934701654167227;0;0;0;0;0;0;0;0;0;0;0;0,00628057786019441;0;0;0;0,00649503661639617;0;0
"martwy";0,000934701654167227;0;0;0,00389892388392742;0;0;0;0,00300900001437563;0;0;0;0;0;0;0;0;0;0;0
"matka";0,00151692445565389;0,00315223761791243;0,00144201460599197;0;0;0;0,00142913947558133;0,00325553127996832;0;0;0;0;0;0;0;0;0,00351359168630727;0;0,0055836146952945
"maxime";0,00342007109172719;0;0;0;0;0;0;0,00366997459146168;0;0;0;0;0;0;0;0;0;0;0
"maz";0;0;0,00225017769113472;0;0,00248389780491004;0,00332779794736282;0;0;0;0;0,00213681322570683;0;0;0;0;0;0;0;0
"mcgonagall";0,00306616096669186;0,00182046318518393;0,00124917669013372;0,00182712666682809;0,00137892542921943;0,0055422391418664;0,00371406998048686;0,0070504379290598;0;0;0;0;0;0;0;0;0;0;0
"mecz";0,000876045990483387;0,000910231592591966;0,00499670676053488;0,00730850666731236;0,00413677628765829;0;0,00371406998048686;0,00564035034324784;0;0;0;0;0;0;0;0;0;0;0,00483692834668056
"medalion";0;0,0118451039877592;0;0;0,00358887018060065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mezczyzna";0,00202807941581912;0,00140481358027442;0,00385585469180425;0;0;0;0,00382142741777028;0;0;0;0;0;0,00908490291771803;0;0;0;0;0;0
"miasta";0;0;0;0;0;0;0;0;0;0;0,00253133556342436;0;0;0;0,0211346429581145;0,0061642708627834;0;0;0
"miasteczko";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00751835072556386;0;0;0,0125888663311767
"miec";0,00467350827083613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00649503661639617;0,0114290343893666;0
"miecz";0;0,017481170761854;0;0;0;0;0;0;0;0,00567796377979196;0,00506267112684872;0;0;0;0;0;0;0;0
"miedza";0,0011400236972424;0;0;0;0;0;0,00322215031095594;0;0;0;0;0;0;0;0;0;0;0;0
"miedzy";0,000505641485217965;0,00105074587263748;0,00144201460599197;0;0,00159179291865854;0,00106630095587415;0;0;0;0;0;0;0;0;0,0114331158046506;0;0;0;0,011167229390589
"miedzyczas";0;0,00163962619507191;0;0,00658251102033261;0,00496779560982008;0;0,00446017363778489;0;0;0;0;0;0;0;0;0;0;0;0
"miejsce";0,0027924114259983;0,00193425240765114;0,000663628641363793;0;0,00146511605021531;0,00196288678822333;0,00263081354254932;0,00149822601745182;0;0;0;0,0100449244351883;0;0,009895000189887;0;0;0,00161698783590836;0,00284534340224219;0,00256963183225748
"mielic";0,000789023346242045;0;0,00450035538226944;0,0032912555101663;0;0;0;0;0;0;0;0;0,0212068633343734;0;0;0;0;0;0
"miesiac";0;0;0;0;0;0;0;0;0;0,00283898188989598;0;0;0;0;0;0,0061642708627834;0,0129900732327923;0;0
"mieszkac";0,000325026120939355;0,000675418977794473;0,00463463172450562;0,00135578245762258;0,00102320377741019;0;0,00091865021682165;0;0,0128611030355031;0;0,000880227584178919;0;0;0;0;0,00214351717258385;0,0022585351672103;0;0
"mija";0,00373880661666891;0,00194235230687267;0;0;0;0;0;0;0;0,00283898188989598;0;0;0;0;0;0;0;0;0
"milosc";0;0;0;0;0,00294250277648887;0,00197110659712985;0;0;0;0;0;0;0;0;0;0;0;0,0571451719468332;0
"milosny";0;0;0;0;0,00358887018060065;0;0;0,00366997459146168;0;0;0;0;0;0;0;0;0;0;0
"mily";0;0,00194235230687267;0;0;0;0;0;0,00300900001437563;0;0,00283898188989598;0;0;0;0;0;0;0;0;0
"min";0;0,0094760831902074;0;0;0;0;0;0,00366997459146168;0;0;0;0;0;0;0;0;0;0;0
"minister";0;0,00163962619507191;0;0;0,00745169341473012;0,00499169692104423;0,00223008681889245;0;0;0;0;0;0;0;0;0;0;0;0
"ministerstwo";0,00353949039652575;0,00525372936318739;0,00144201460599197;0;0,00159179291865854;0,00533150477937077;0,00428741842674399;0,0130221251198733;0;0;0;0;0;0;0;0;0;0;0
"minuta";0,000934701654167227;0,00194235230687267;0;0;0;0,00197110659712985;0;0;0;0;0;0;0;0;0;0;0;0;0
"miotla";0,00116740260633375;0,00242591540878545;0,00665851856945918;0;0,00367506080159653;0;0,00659906751080329;0,00187905651155077;0;0;0;0;0;0;0;0;0;0;0
"misja";0;0,00491887858521572;0;0;0,00248389780491004;0,00166389897368141;0;0;0;0;0;0;0;0;0,0178406945511396;0;0;0;0
"mistrz";0,000789023346242045;0;0;0;0;0,00166389897368141;0,00223008681889245;0;0;0,00479302241672406;0;0;0;0;0;0;0;0;0
"mistrzostwa";0,00342007109172719;0;0;0;0;0;0,00322215031095594;0;0;0;0;0;0;0;0;0;0;0;0
"mlodego";0,0011400236972424;0;0;0;0;0;0;0;0;0,00346260928938549;0;0;0;0;0;0;0;0;0
"mlody";0,00798016588069677;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0139396030619896;0
"moc";0,00101128297043593;0,00105074587263748;0;0,00210918388197069;0,00318358583731709;0;0;0;0;0,00153579167525158;0;0,0218268574452421;0;0;0;0;0,00702718337261454;0;0
"móc";0,000975078362818066;0;0,0037077053796045;0,00135578245762258;0,00102320377741019;0,000685417778353977;0,00275595065046495;0,0020926540532344;0;0;0;0;0,00436792178564256;0;0;0,00214351717258385;0,0022585351672103;0;0
"mogac";0;0;0;0;0;0;0;0;0;0;0;0;0,00628057786019441;0;0;0,0061642708627834;0;0,0114290343893666;0
"mogli";0;0,00194235230687267;0;0,00389892388392742;0;0;0;0;0;0,00283898188989598;0;0;0;0;0;0;0;0;0
"molly";0,000934701654167227;0,00582705692061801;0;0;0;0;0;0,00601800002875125;0;0;0;0;0;0;0;0;0;0;0
"moment";0,00219011497620847;0,000910231592591966;0;0,00182712666682809;0,00137892542921943;0,000923706523644401;0,00371406998048686;0;0;0;0;0;0,00588645053511125;0;0;0;0;0;0,00483692834668056
"moody";0,0130858231583412;0,00194235230687267;0;0;0;0;0;0,00601800002875125;0;0;0;0;0;0;0;0;0;0;0
"moodyego";0,00342007109172719;0,0047380415951037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"morderstwo";0,0011400236972424;0;0;0;0;0,00240409142371842;0;0;0;0;0;0;0;0;0;0;0;0;0
"morze";0;0;0;0;0;0;0;0;0;0;0,00308738356791215;0;0;0;0;0,00751835072556386;0;0;0
"most";0;0;0;0;0,00358887018060065;0;0;0;0;0,00692521857877097;0;0;0;0;0;0;0;0;0
"motocykl";0;0,00236902079755185;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00751835072556386;0;0;0
"mowa";0,000934701654167227;0;0;0;0;0,00197110659712985;0;0;0;0,00283898188989598;0;0;0;0;0;0;0;0;0
"mówiac";0;0;0;0,00389892388392742;0,00294250277648887;0,00197110659712985;0;0;0;0;0;0;0;0;0;0;0;0;0
"mówic";0,000618564536870455;0,00257081016126029;0,000882027209981945;0,00387033023179486;0,00146046162890381;0,00163054252918572;0,000437075983517839;0,00597386564591161;0,0122381275384995;0,00469693594228125;0,00376915715064053;0,00667534229372699;0;0;0;0,00101984396154162;0,00107456729606337;0;0
"mozliwe";0,000934701654167227;0;0;0;0;0,00197110659712985;0;0;0;0,00283898188989598;0;0;0;0;0;0;0;0;0
"mozliwy";0;0,00236902079755185;0;0;0;0;0;0;0;0;0;0;0,0076602063996311;0;0;0;0;0;0
"mroczny";0,00467350827083613;0,00194235230687267;0;0;0,00294250277648887;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mugol";0,00101128297043593;0,00105074587263748;0,00288402921198395;0,00421836776394138;0,00159179291865854;0,00106630095587415;0,00142913947558133;0;0;0;0;0;0;0;0;0;0;0;0
"mugolaków";0;0,00236902079755185;0;0;0;0,00240409142371842;0;0;0;0;0;0;0;0;0;0;0;0;0
"mundungusa";0;0,0047380415951037;0;0;0,00717774036120129;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"musiec";0,0018616076173322;0;0,00199088592409138;0,000970666197250995;0,000732558025107657;0,000490721697055832;0,000657703385637331;0;0;0,000706785727849072;0,000630194879013716;0,0100449244351883;0,00312719345623787;0;0,00526162708509864;0;0,00161698783590836;0;0
"mysl";0,00116740260633375;0,00121295770439273;0;0;0;0;0;0,00187905651155077;0;0;0;0;0;0;0;0,00769891209593717;0,0121680366784568;0;0,00644560082450554
"myslec";0;0,00163962619507191;0,00450035538226944;0,0032912555101663;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00871289733892863
"myslodsiewni";0;0,00236902079755185;0;0;0;0;0;0,00366997459146168;0;0;0;0;0;0;0;0;0;0;0
"mysz";0;0;0;0;0;0;0;0;0;0,00851694566968794;0,00253133556342436;0;0,00628057786019441;0;0;0;0;0;0
"nadal";0,000676026471939706;0;0;0;0,0021281761531008;0,00285122045678197;0;0,00435254105888412;0;0;0;0;0;0;0;0,00445833198739866;0;0;0
"nadawac";0;0;0;0,00475538435350452;0;0;0;0;0;0;0,00308738356791215;0;0;0;0;0;0;0;0
"nadchodzic";0,00373880661666891;0,00194235230687267;0;0;0;0;0,00528366073952863;0;0;0;0;0;0;0;0;0;0;0;0
"nadejsc";0;0;0,00799689193009739;0,00779784776785484;0;0;0;0,00300900001437563;0;0;0;0;0;0;0;0;0;0;0
"nadzieja";0,000789023346242045;0;0;0;0;0,00166389897368141;0;0;0;0;0,00213681322570683;0;0;0;0;0,00520353591074904;0;0;0
"nagly";0,00202256594087186;0,00105074587263748;0,00432604381797592;0;0;0;0,00428741842674399;0;0;0,00307158335050316;0,00136936558116538;0;0;0;0;0;0,00702718337261454;0;0
"najbardziej";0;0;0;0;0;0;0,00322215031095594;0;0;0;0;0;0;0;0;0;0;0,0139396030619896;0
"najblizszy";0,000789023346242045;0;0;0;0,00248389780491004;0;0;0,00254003108863682;0;0,00239651120836203;0;0;0;0;0;0;0;0;0
"najlepszy";0;0;0,00675053307340416;0;0,00248389780491004;0;0,00223008681889245;0,00254003108863682;0;0;0;0;0;0;0;0;0;0;0
"najmlodszy";0,0011400236972424;0;0,00325117869213572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"najpierw";0;0,00163962619507191;0,00225017769113472;0;0;0;0;0;0;0;0,00427362645141366;0;0,00530171583359336;0;0;0;0;0;0
"najstarszy";0;0,00236902079755185;0;0;0;0;0;0;0;0;0,00308738356791215;0;0;0;0;0;0;0;0
"najwiekszy";0;0;0,00325117869213572;0,00475538435350452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"najwyzszy";0;0;0,00325117869213572;0;0;0;0;0;0;0;0,00926215070373646;0;0;0;0;0;0;0;0
"nakazywac";0,00552316342369431;0;0;0;0;0;0;0;0;0,00239651120836203;0,00427362645141366;0;0;0;0;0,00520353591074904;0;0;0
"nalezec";0,00228004739448479;0;0,00650235738427144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"nalezy";0;0;0;0;0;0;0;0;0;0,00567796377979196;0,00506267112684872;0;0;0;0;0;0;0,0114290343893666;0
"namawiac";0,00157804669248409;0;0;0;0,00248389780491004;0;0;0;0;0,00239651120836203;0;0;0;0;0;0;0,00548275003278923;0;0
"namiot";0,00560820992500336;0,00582705692061801;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0228580687787333;0
"namowa";0,0011400236972424;0,00236902079755185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"namówic";0,000789023346242045;0,00163962619507191;0;0;0;0,00332779794736282;0,00223008681889245;0;0;0;0;0;0;0;0;0;0;0;0
"napasc";0,00186940330833445;0;0;0,0116967716517823;0;0;0;0,00300900001437563;0;0;0;0;0;0;0;0;0;0;0
